date,place,opponent_1,opponent_2,opponent_1_estimated_punch_power,opponent_2_estimated_punch_power,opponent_1_estimated_punch_resistance,opponent_2_estimated_punch_resistance,opponent_1_estimated_ability_to_take_punch,opponent_2_estimated_ability_to_take_punch,opponent_1_rounds_boxed,opponent_2_rounds_boxed,opponent_1_round_ko_percentage,opponent_2_round_ko_percentage,opponent_1_has_been_ko_percentage,opponent_2_has_been_ko_percentage,opponent_1_avg_weight,opponent_2_avg_weight,verdict,opponent_1_name_clean,opponent_2_name_clean,opponent_1_name,opponent_1_wins,opponent_1_looses,opponent_1_draws,opponent_1_ko_rate,opponent_1_stance,opponent_1_age,opponent_1_height,opponent_1_reach,opponent_1_country,opponent_2_name,opponent_2_wins,opponent_2_looses,opponent_2_draws,opponent_2_ko_rate,opponent_2_stance,opponent_2_age,opponent_2_height,opponent_2_reach,opponent_2_country,opponent_1_verdict,opponent_2_verdict
31 August 2019,Unknown,Vasyl Lomachenko ,Luke Campbell,72,72,73.9,60.5,78.0,73.0,119,130.0,8.4,12.31,0.0,0.0,127.11,135.24,Lomachenko won via UD in round 12,vasyl lomachenko,luke campbell,vasyl lomachenko,14.0,2.0,0.0,62.5%,Southpaw,34,5.51 ft (1.68 m),65.35 inches (166 cm),Ukraine,luke campbell,20.0,3.0,0.0,66.7%,Southpaw,34.0,5.74 ft (1.75 m),70.87 inches (180 cm),United Kingdom,WON,LOSS
19 September 2019,Unknown,Orlando Fiordigiglio ,Sam Eggington,59,59,55.4,54.5,68.0,66.0,200,177.0,6.5,8.47,3.03,6.25,152.5,148.93,Eggington won via KO in round 2,orlando fiordigiglio,sam eggington,,20.0,4.0,1.0,42%,Southpaw,34,5.9 ft (1.75 m),115.5 inches (293 cm),Unknown,sam eggington,28.0,7.0,0.0,48.6%,Orthodox,28.0,5.91 ft (1.80 m),Unknown,United Kingdom,LOSS,WON
5 October 2019,Unknown,Gennady Golovkin ,Sergiy Derevyanchenko,82,82,68.0,63.3,84.0,75.0,200,81.0,17.5,12.35,0.0,0.0,159.66,164.04,Golovkin won via UD in round 12,gennady golovkin,sergiy derevyanchenko,gennady golovkin,41.0,1.0,1.0,83.7%,Orthodox,40,5.87 ft (1.79 m),70.08 inches (178 cm),Kazakhstan,sergiy derevyanchenko,13.0,2.0,0.0,66.7%,Orthodox,36.0,5.58 ft (1.70 m),67.32 inches (171 cm),United States,WON,LOSS
12 October 2019,Unknown,Chazz Witherspoon ,Oleksandr Usyk,69,69,59.6,68.9,79.0,80.0,182,125.0,15.93,9.6,4.76,9.4,292.71,200.1,Usyk won via RTD in round 7,chazz witherspoon,oleksandr usyk,,33.0,4.0,1.0,72%,Orthodox,30,5.9 ft (1.75 m),115.5 inches (293 cm),United States,oleksandr usyk,18.0,0.0,0.0,72.2%,Southpaw,35.0,6.23 ft (1.90 m),Unknown,Ukraine,LOSS,WON
27 September 2019,Unknown,Ebenezer Tetteh ,Daniel Dubois,46,46,69.8,44.4,50.0,69.0,38,39.0,23.68,30.77,0.0,0.0,178.67,230.38,Dubois won via TKO in round 1,ebenezer tetteh,daniel dubois,ebenezer tetteh,9.0,1.0,0.0,90%,Unknown,Unknown,Unknown,Unknown,Ghana,daniel dubois,15.0,1.0,0.0,87.5%,Orthodox,25.0,6.36 ft (1.94 m),Unknown,United Kingdom,LOSS,WON
28 September 2019,Unknown,Shawn Porter ,Errol Spence Jr,66,66,63.8,62.3,80.0,77.0,219,108.0,7.76,19.44,0.0,0.0,152.53,148.47,Spence Jr won via SD in round 12,shawn porter,errol spence jr,shawn porter,30.0,3.0,1.0,48.6%,Orthodox,34,5.58 ft (1.70 m),69.69 inches (177 cm),United States,errol spence jr,26.0,0.0,0.0,77.8%,Orthodox,32.0,5.84 ft (1.78 m),72.05 inches (183 cm),United States,LOSS,WON
13 September 2019,Unknown,Zaur Abdullaev ,Devin Haney,64,64,58.4,47.0,72.0,73.0,60,110.0,8.33,12.73,0.0,0.0,0.0,0.0,Haney won via RTD in round 4,zaur abdullaev,devin haney,Zaur Abdullaev,8.0,1.0,0.0,50%,Orthodox,28,5.74 ft (1.75 m),Unknown,Unknown,Devin Haney,24.0,0.0,0.0,57.7%,Orthodox,23.0,Unknown,Unknown,United States,LOSS,WON
14 September 2019,Unknown,Tyson Fury ,Otto Wallin,72,72,66.5,57.4,86.0,77.0,174,90.0,11.49,14.44,0.0,0.0,247.5,240.54,Fury won via UD in round 12,tyson fury,otto wallin,tyson fury,30.0,0.0,1.0,65.6%,Orthodox,34,6.76 ft (2.06 m),85.04 inches (216 cm),United Kingdom,otto wallin,20.0,1.0,0.0,56.5%,Southpaw,31.0,6.46 ft (1.97 m),77.95 inches (198 cm),Sweden,WON,LOSS
31 August 2019,Unknown,Alexander Povetkin ,Hughie Fury,74,74,72.6,60.0,81.0,77.0,231,130.0,10.39,10.0,2.78,13.4,235.57,235.4,Povetkin won via UD in round 12,alexander povetkin,hughie fury,alexander povetkin,36.0,2.0,1.0,62.5%,Orthodox,42,6.17 ft (1.88 m),75.20 inches (191 cm),Russian Federation,hughie fury,24.0,3.0,0.0,51.9%,Orthodox,27.0,6.50 ft (1.98 m),Unknown,United Kingdom,WON,LOSS
18 October 2019,Unknown,Artur Beterbiev ,Oleksandr Gvozdyk,88,88,68.4,67.5,81.0,78.0,52,88.0,26.92,15.91,0.0,0.0,178.65,174.95,Beterbiev won via TKO in round 10,artur beterbiev,oleksandr gvozdyk,artur beterbiev,15.0,0.0,0.0,93.8%,Orthodox,37,6.04 ft (1.84 m),72.83 inches (185 cm),Russian Federation,oleksandr gvozdyk,17.0,1.0,0.0,77.8%,Unknown,35.0,6.17 ft (1.88 m),75.59 inches (192 cm),Ukraine,WON,LOSS
