date,place,opponent_1,opponent_2,opponent_1_estimated_punch_power,opponent_2_estimated_punch_power,opponent_1_estimated_punch_resistance,opponent_2_estimated_punch_resistance,opponent_1_estimated_ability_to_take_punch,opponent_2_estimated_ability_to_take_punch,opponent_1_rounds_boxed,opponent_2_rounds_boxed,opponent_1_round_ko_percentage,opponent_2_round_ko_percentage,opponent_1_has_been_ko_percentage,opponent_2_has_been_ko_percentage,opponent_1_avg_weight,opponent_2_avg_weight,verdict,opponent_1_name_clean,opponent_2_name_clean,opponent_1_name,opponent_1_wins,opponent_1_looses,opponent_1_draws,opponent_1_ko_rate,opponent_1_age,opponent_1_height,opponent_1_reach,opponent_2_name,opponent_2_wins,opponent_2_looses,opponent_2_draws,opponent_2_ko_rate,opponent_2_age,opponent_2_height,opponent_2_reach,opponent_1_verdict,opponent_2_verdict,opponent_1_height_cm,opponent_2_height_cm,opponent_1_reach_cm,opponent_2_reach_cm,opponent_1_stance_Southpaw,opponent_1_stance_Unknown,opponent_2_stance_Southpaw,opponent_2_stance_Unknown,opponent_1_country_Cuba,opponent_1_country_Dominican Republic,opponent_1_country_France,opponent_1_country_Germany,opponent_1_country_Ghana,opponent_1_country_Kazakhstan,opponent_1_country_Mexico,opponent_1_country_New Zealand,opponent_1_country_Philippines,opponent_1_country_Russian Federation,opponent_1_country_Ukraine,opponent_1_country_United Kingdom,opponent_1_country_United States,opponent_1_country_Unknown,"opponent_1_country_Venezuela, Bolivarian Republic of",opponent_2_country_Canada,opponent_2_country_Colombia,opponent_2_country_Germany,opponent_2_country_Ireland,opponent_2_country_Japan,opponent_2_country_Kazakhstan,opponent_2_country_Mexico,opponent_2_country_New Zealand,opponent_2_country_Russian Federation,opponent_2_country_Sweden,opponent_2_country_Ukraine,opponent_2_country_United Kingdom,opponent_2_country_United States,opponent_2_country_Unknown
31 August 2019,Unknown,Vasyl Lomachenko ,Luke Campbell,0.8089887640449438,0.8089887640449438,0.8378684807256236,0.7553058676654183,0.8853575482406357,0.8202247191011236,0.25757575757575757,0.33248081841432225,8.4,12.31,0.0,0.0,0.2936515270526267,0.20444444444444446,Lomachenko won via UD in round 12,vasyl lomachenko,luke campbell,vasyl lomachenko,14.0,2.0,0.0,0.5572842998585574,0.1875,5.51 ft (1.68 m),65.35 inches (166 cm),luke campbell,20.0,3.0,0.0,0.7156652360515022,0.19298245614035087,5.74 ft (1.75 m),70.87 inches (180 cm),WON,LOSS,0.07317073170731714,0.2790697674418605,0.06617647058823528,0.1691176470588236,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
19 September 2019,Unknown,Orlando Fiordigiglio ,Sam Eggington,0.6629213483146067,0.6629213483146067,0.6281179138321995,0.6803995006242198,0.7718501702610671,0.7415730337078652,0.4329004329004329,0.45268542199488493,6.5,8.47,0.048479999999999995,0.15782828282828282,0.3523079055583791,0.2251398337112623,Eggington won via KO in round 2,orlando fiordigiglio,sam eggington,,20.0,4.0,1.0,0.26732673267326734,0.1875,5.9 ft (1.75 m),115.5 inches (293 cm),sam eggington,28.0,7.0,0.0,0.5214592274678111,0.08771929824561403,5.91 ft (1.80 m),Unknown,LOSS,WON,0.24390243902439046,0.3953488372093026,1.0,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
5 October 2019,Unknown,Gennady Golovkin ,Sergiy Derevyanchenko,0.9213483146067416,0.9213483146067416,0.7709750566893424,0.7902621722846442,0.9534619750283769,0.8426966292134831,0.4329004329004329,0.2071611253196931,17.5,12.35,0.0,0.0,0.3688490505013168,0.24798185941043083,Golovkin won via UD in round 12,gennady golovkin,sergiy derevyanchenko,gennady golovkin,41.0,1.0,1.0,0.8571428571428574,0.3125,5.87 ft (1.79 m),70.08 inches (178 cm),sergiy derevyanchenko,13.0,2.0,0.0,0.7156652360515022,0.22807017543859648,5.58 ft (1.70 m),67.32 inches (171 cm),WON,LOSS,0.34146341463414664,0.16279069767441845,0.15441176470588247,0.10294117647058831,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
12 October 2019,Unknown,Chazz Witherspoon ,Oleksandr Usyk,0.7752808988764045,0.7752808988764045,0.6757369614512472,0.8601747815230962,0.8967082860385927,0.898876404494382,0.3939393939393939,0.319693094629156,15.93,9.6,0.07615999999999999,0.23737373737373738,0.6762232592524141,0.3024943310657596,Usyk won via RTD in round 7,chazz witherspoon,oleksandr usyk,,33.0,4.0,1.0,0.6916548797736917,0.10416666666666674,5.9 ft (1.75 m),115.5 inches (293 cm),oleksandr usyk,18.0,0.0,0.0,0.7746781115879828,0.21052631578947362,6.23 ft (1.90 m),Unknown,LOSS,WON,0.24390243902439046,0.6279069767441858,1.0,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
27 September 2019,Unknown,Ebenezer Tetteh ,Daniel Dubois,0.5168539325842696,0.5168539325842696,0.7913832199546484,0.5543071161048689,0.5675368898978435,0.7752808988764045,0.08225108225108226,0.09974424552429668,23.68,30.77,0.0,0.0,0.4127662523679711,0.34826908541194257,Dubois won via TKO in round 1,ebenezer tetteh,daniel dubois,ebenezer tetteh,9.0,1.0,0.0,0.9462517680339464,,Unknown,Unknown,daniel dubois,15.0,1.0,0.0,0.9388412017167382,0.03508771929824561,6.36 ft (1.94 m),Unknown,LOSS,WON,,0.7209302325581395,,,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
28 September 2019,Unknown,Shawn Porter ,Errol Spence Jr,0.7415730337078652,0.7415730337078652,0.7233560090702947,0.7777777777777778,0.9080590238365495,0.8651685393258427,0.474025974025974,0.2762148337595908,7.76,19.44,0.0,0.0,0.3523772120316037,0.22444444444444445,Spence Jr won via SD in round 12,shawn porter,errol spence jr,shawn porter,30.0,3.0,1.0,0.3606789250353608,0.1875,5.58 ft (1.70 m),69.69 inches (177 cm),errol spence jr,26.0,0.0,0.0,0.8347639484978541,0.15789473684210525,5.84 ft (1.78 m),72.05 inches (183 cm),LOSS,WON,0.12195121951219523,0.34883720930232576,0.1470588235294119,0.19117647058823528,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
13 September 2019,Unknown,Zaur Abdullaev ,Devin Haney,0.7191011235955056,0.7191011235955056,0.6621315192743764,0.5867665418227217,0.8172531214528945,0.8202247191011236,0.12987012987012986,0.2813299232736573,8.33,12.73,0.0,0.0,0.0,0.0,Haney won via RTD in round 4,zaur abdullaev,devin haney,Zaur Abdullaev,8.0,1.0,0.0,0.3804809052333805,0.0625,5.74 ft (1.75 m),Unknown,Devin Haney,24.0,0.0,0.0,0.619098712446352,0.0,Unknown,Unknown,LOSS,WON,0.24390243902439046,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
14 September 2019,Unknown,Tyson Fury ,Otto Wallin,0.8089887640449438,0.8089887640449438,0.753968253968254,0.7166042446941324,0.9761634506242907,0.8651685393258427,0.37662337662337664,0.23017902813299235,11.49,14.44,0.0,0.0,0.5717784041029431,0.3636281179138322,Fury won via UD in round 12,tyson fury,otto wallin,tyson fury,30.0,0.0,1.0,0.6011315417256011,0.1875,6.76 ft (2.06 m),85.04 inches (216 cm),otto wallin,20.0,1.0,0.0,0.6062231759656652,0.1403508771929824,6.46 ft (1.97 m),77.95 inches (198 cm),WON,LOSS,1.0,0.7906976744186047,0.4338235294117647,0.30147058823529416,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
31 August 2019,Unknown,Alexander Povetkin ,Hughie Fury,0.8314606741573034,0.8314606741573034,0.8231292517006802,0.7490636704119851,0.9194097616345064,0.8651685393258427,0.5,0.33248081841432225,10.39,10.0,0.04448,0.3383838383838384,0.5442175299172942,0.3558578987150416,Povetkin won via UD in round 12,alexander povetkin,hughie fury,alexander povetkin,36.0,2.0,1.0,0.5572842998585574,0.35416666666666674,6.17 ft (1.88 m),75.20 inches (191 cm),hughie fury,24.0,3.0,0.0,0.5568669527896996,0.07017543859649122,6.50 ft (1.98 m),Unknown,WON,LOSS,0.5609756097560981,0.8139534883720931,0.25,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
18 October 2019,Unknown,Artur Beterbiev ,Oleksandr Gvozdyk,0.9887640449438202,0.9887640449438202,0.7755102040816327,0.8426966292134832,0.9194097616345064,0.8764044943820224,0.11255411255411256,0.22506393861892585,26.92,15.91,0.0,0.0,0.4127200480524881,0.26447467876039304,Beterbiev won via TKO in round 10,artur beterbiev,oleksandr gvozdyk,artur beterbiev,15.0,0.0,0.0,1.0000000000000002,0.25,6.04 ft (1.84 m),72.83 inches (185 cm),oleksandr gvozdyk,17.0,1.0,0.0,0.8347639484978541,0.21052631578947362,6.17 ft (1.88 m),75.59 inches (192 cm),WON,LOSS,0.4634146341463419,0.581395348837209,0.20588235294117663,0.25735294117647056,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
